serie1,serie2
1.39,0.712230216
1.84,0.538043478
1.69,0.585798817
3.39,0.292035398
3.25,0.304615385
1.26,0.785714286
70.62,0.014018692
1.3,0.761538462
1.19,0.831932773
1.37,0.722627737
21.82,0.045371219
2.37,0.417721519
1.13,0.876106195
1.23,0.804878049
2.64,0.375
1.02,0.970588235
1.12,0.883928571
17.6,0.05625
1.04,0.951923077
2.7,0.366666667
1.87,0.529411765
1.28,0.7734375
18.5,0.053513514
1.65,0.6
2.1,0.471428571
3.31,0.299093656
1.58,0.626582278
1.52,0.651315789
3.74,0.264705882
3.54,0.279661017
1.17,0.846153846
1.19,0.831932773
1.67,0.592814371
1,0.99
1.08,0.916666667
4.36,0.22706422
1.41,0.70212766
1,0.99
4.04,0.245049505
1.84,0.538043478
9.3,0.106451613
0.97,1.020618557
1.45,0.682758621
63.03,0.015706806
1.71,0.578947368
9.88,0.100202429
9.59,0.103232534
1.21,0.818181818
3.47,0.285302594
21.67,0.045685279
3.33,0.297297297
2.58,0.38372093
3.27,0.302752294
1.04,0.951923077
1,0.99
2.45,0.404081633
3.54,0.279661017
6.16,0.160714286
6.08,0.162828947
1.52,0.651315789
2.39,0.414225941
2.37,0.417721519
1.37,0.722627737
3.02,0.32781457
1.56,0.634615385
4.75,0.208421053
5.32,0.186090226
1.67,0.592814371
12.25,0.080816327
2.16,0.458333333
1.08,0.916666667
3.77,0.262599469
1.26,0.785714286
2.6,0.380769231
3.39,0.292035398
1.06,0.933962264
1.56,0.634615385
1.56,0.634615385
2.29,0.43231441
10.09,0.098116947
1.76,0.5625
1.41,0.70212766
1.08,0.916666667
1.17,0.846153846
43.74,0.022633745
1.82,0.543956044
1.08,0.916666667
2.29,0.43231441
1.45,0.682758621
1.95,0.507692308
1.91,0.518324607
2.12,0.466981132
2.79,0.35483871
2.43,0.407407407
3.66,0.270491803
17.8,0.055617978
4.04,0.245049505
1,0.99
16.23,0.060998152
2.52,0.392857143
2.7,0.366666667
2.02,0.49009901
6.33,0.156398104
2.08,0.475961538
3.83,0.25848564
1.56,0.634615385
1.82,0.543956044
6.32,0.15664557
1.04,0.951923077
1.5,0.66
1.93,0.512953368
2.52,0.392857143
9.19,0.107725789
1.26,0.785714286
2.14,0.462616822
1.3,0.761538462
1.65,0.6
1.17,0.846153846
52.75,0.018767773
4.7,0.210638298
13.38,0.073991031
9.38,0.10554371
2.97,0.333333333
7.7,0.128571429
4104.11,0.000241222
1.84,0.538043478
1.5,0.66
1.8,0.55
1.17,0.846153846
12.08,0.081953642
5.13,0.192982456
1.43,0.692307692
2.16,0.458333333
2.75,0.36
6.59,0.150227618
1.39,0.712230216
1.06,0.933962264
1.86,0.532258065
11.03,0.089755213
1.3,0.761538462
2.45,0.404081633
2.14,0.462616822
2,0.495
4.75,0.208421053
3,0.33
10.35,0.095652174
1.65,0.6
5.82,0.170103093
1.06,0.933962264
10.09,0.098116947
2.22,0.445945946
3.62,0.273480663
1.12,0.883928571
1.3,0.761538462
3.62,0.273480663
1.45,0.682758621
3.83,0.25848564
11,0.09
31.98,0.030956848
3.06,0.323529412
1.23,0.804878049
3.31,0.299093656
4.2,0.235714286
2.06,0.480582524
3.87,0.255813953
2.89,0.342560554
22.01,0.044979555
2.04,0.485294118
4.79,0.206680585
1.13,0.876106195
1.67,0.592814371
1.3,0.761538462
1.06,0.933962264
2.97,0.333333333
1.82,0.543956044
12.25,0.080816327
1.56,0.634615385
2.39,0.414225941
1.02,0.970588235
8.61,0.114982578
1.06,0.933962264
1.58,0.626582278
2.83,0.349823322
6.62,0.149546828
